Wiek,1950,1960,1970,1980,1990,2000,2010
0,0.12062,0.060570000000000006,0.03742,0.02398,0.02163,0.00882,0.005370000000000001
1,0.02392,0.00704,0.00466,0.0035700000000000003,0.00278,0.00144,0.00086
5,0.00785,0.00331,0.00264,0.00236,0.00162,0.00103,0.00062
10,0.00665,0.00297,0.00231,0.0020399999999999997,0.00173,0.00114,0.00088
15,0.011359999999999999,0.00583,0.005,0.0051,0.00521,0.0037,0.00322
20,0.01787,0.00898,0.0081,0.00899,0.008329999999999999,0.006,0.00528
25,0.017759999999999998,0.01001,0.009470000000000001,0.01067,0.00937,0.00662,0.00556
30,0.02069,0.012,0.01105,0.01305,0.01317,0.00909,0.00744
35,0.02313,0.014469999999999998,0.015119999999999998,0.01927,0.01917,0.0144,0.0116
40,0.030410000000000003,0.02014,0.02203,0.02955,0.02926,0.02364,0.018869999999999998
45,0.04481,0.02957,0.0316,0.04359,0.04521,0.03713,0.031030000000000002
50,0.06698,0.04735,0.04774,0.06369,0.06744,0.055779999999999996,0.04968
55,0.09861,0.07518999999999999,0.0757,0.08985,0.09927000000000001,0.0814,0.07368
60,0.14790999999999999,0.1199,0.12108,0.12686,0.14082,0.11955999999999999,0.10342
65,0.20861,0.18162999999999999,0.18665,0.19164,0.19583,0.17087,0.14240999999999998
70,0.30967,0.26179,0.28415999999999997,0.2857,0.26966999999999997,0.24126999999999998,0.19797
75,0.42262,0.37787,0.37717,0.4128,0.38227,0.33328,0.28189000000000003
80,0.54819,0.5269199999999999,0.5184,0.56724,0.5242399999999999,0.44851,0.3993
